Time [s], II
0,0.72549
0.008,0.67059
0.016,0.6098
0.024,0.55098
0.032,0.5
0.04,0.4549
0.048,0.4098
0.056,0.3902
0.064,0.37451
0.072,0.35882
0.08,0.3549
0.088,0.34902
0.096,0.3549
0.104,0.36471
0.112,0.3549
0.12,0.36471
0.128,0.37451
0.136,0.37059
0.144,0.3902
0.152,0.3902
0.16,0.3902
0.168,0.39412
0.176,0.40392
0.184,0.40392
0.192,0.4
0.2,0.39412
0.208,0.38431
0.216,0.38431
0.224,0.38039
0.232,0.3902
0.24,0.40392
0.248,0.41961
0.256,0.41961
0.264,0.42549
0.272,0.42549
0.28,0.4
0.288,0.3902
0.296,0.40392
0.304,0.41961
0.312,0.42941
0.32,0.43529
0.328,0.42941
0.336,0.41569
0.344,0.4098
0.352,0.41569
0.36,0.41961
0.368,0.40392
0.376,0.34902
0.384,0.6549
0.392,1.5039
0.4,1.5039
0.408,1.5039
0.416,0.66078
0.424,0.42941
0.432,0.41961
0.44,0.40392
0.448,0.38431
0.456,0.34902
0.464,0.33922
0.472,0.3549
0.48,0.38039
0.488,0.38039
0.496,0.3902
0.504,0.40392
0.512,0.39412
0.52,0.40392
0.528,0.42941
0.536,0.43529
0.544,0.43922
0.552,0.46078
0.56,0.48431
0.568,0.51569
0.576,0.55098
0.584,0.60588
0.592,0.6549
0.6,0.69608
0.608,0.72549
0.616,0.74118
0.624,0.75098
0.632,0.74118
0.64,0.71569
0.648,0.66471
0.656,0.60588
0.664,0.5451
0.672,0.47451
0.68,0.42941
0.688,0.38431
0.696,0.3451
0.704,0.31961
0.712,0.3098
0.72,0.3098
0.728,0.3098
0.736,0.30392
0.744,0.29412
0.752,0.3
0.76,0.32941
0.768,0.32941
0.776,0.32353
0.784,0.33922
0.792,0.32941
0.8,0.33529
0.808,0.33922
0.816,0.33922
0.824,0.33922
0.832,0.33922
0.84,0.33529
0.848,0.32941
0.856,0.31961
0.864,0.32941
0.872,0.33529
0.88,0.33922
0.888,0.3549
0.896,0.36471
0.904,0.3451
0.912,0.33529
0.92,0.31373
0.928,0.3098
0.936,0.31373
0.944,0.32941
0.952,0.31961
0.96,0.33529
0.968,0.3098
0.976,0.3098
0.984,0.30392
0.992,0.3098
1,0.31373
1.008,0.26471
1.016,0.4549
1.024,1.2078
1.032,1.5039
1.04,1.5039
1.048,0.82549
1.056,0.33529
1.064,0.31373
1.072,0.33529
1.08,0.31373
1.088,0.3098
1.096,0.30392
1.104,0.3098
1.112,0.31373
1.12,0.3098
1.128,0.33529
1.136,0.33529
1.144,0.34902
1.152,0.36471
1.16,0.37451
1.168,0.40392
1.176,0.42549
1.184,0.44902
1.192,0.48039
1.2,0.51569
1.208,0.57059
1.216,0.6098
1.224,0.67647
1.232,0.73137
1.24,0.77647
1.248,0.8
1.256,0.8
1.264,0.8
1.272,0.77647
1.28,0.71569
1.288,0.65098
1.296,0.58431
1.304,0.50588
1.312,0.43529
1.32,0.37059
1.328,0.32941
1.336,0.2902
1.344,0.25882
1.352,0.23922
1.36,0.22941
1.368,0.23922
1.376,0.2549
1.384,0.26471
1.392,0.28431
1.4,0.30392
1.408,0.32941
1.416,0.3451
1.424,0.3549
1.432,0.37059
1.44,0.38039
1.448,0.38431
1.456,0.39412
1.464,0.38431
1.472,0.38431
1.48,0.38039
1.488,0.37451
1.496,0.37059
1.504,0.36471
1.512,0.35882
1.52,0.37451
1.528,0.38431
1.536,0.38039
1.544,0.35882
1.552,0.34902
1.56,0.31373
1.568,0.3098
1.576,0.31961
1.584,0.33529
1.592,0.33922
1.6,0.33529
1.608,0.33529
1.616,0.32353
1.624,0.32941
1.632,0.33529
1.64,0.3451
1.648,0.3
1.656,0.25882
1.664,0.71569
1.672,1.5039
1.68,1.5039
1.688,1.3784
1.696,0.51961
1.704,0.40392
1.712,0.4098
1.72,0.37059
1.728,0.3549
1.736,0.33529
1.744,0.3549
1.752,0.37059
1.76,0.37451
1.768,0.36471
1.776,0.38039
1.784,0.38039
1.792,0.38039
1.8,0.4
1.808,0.41961
1.816,0.41961
1.824,0.46078
1.832,0.47451
1.84,0.50588
1.848,0.52549
1.856,0.5902
1.864,0.61961
1.872,0.67647
1.88,0.72157
1.888,0.75098
1.896,0.77647
1.904,0.77059
1.912,0.77059
1.92,0.7451
1.928,0.6902
1.936,0.62941
1.944,0.56471
1.952,0.50588
1.96,0.4549
1.968,0.41569
1.976,0.3902
1.984,0.36471
1.992,0.3451
2,0.33529
2.008,0.32941
2.016,0.33529
2.024,0.32353
2.032,0.33922
2.04,0.35882
2.048,0.36471
2.056,0.37451
2.064,0.36471
2.072,0.38039
2.08,0.38431
2.088,0.39412
2.096,0.40392
2.104,0.38039
2.112,0.39412
2.12,0.39412
2.128,0.38039
2.136,0.37451
2.144,0.37059
2.152,0.37451
2.16,0.3902
2.168,0.4
2.176,0.39412
2.184,0.3902
2.192,0.38039
2.2,0.3549
2.208,0.31961
2.216,0.3451
2.224,0.35882
2.232,0.37451
2.24,0.37059
2.248,0.37451
2.256,0.33922
2.264,0.34902
2.272,0.33922
2.28,0.34902
2.288,0.3549
2.296,0.26863
2.304,0.44902
2.312,1.1765
2.32,1.5039
2.328,1.5039
2.336,0.81569
2.344,0.4549
2.352,0.42941
2.36,0.4
2.368,0.36471
2.376,0.34902
2.384,0.33922
2.392,0.34902
2.4,0.37059
2.408,0.35882
2.416,0.38039
2.424,0.39412
2.432,0.40392
2.44,0.41569
2.448,0.41961
2.456,0.42941
2.464,0.44902
2.472,0.47059
2.48,0.4902
2.488,0.51961
2.496,0.56471
2.504,0.6
2.512,0.6451
2.52,0.69608
2.528,0.7451
2.536,0.77647
2.544,0.79608
2.552,0.79608
2.56,0.78039
2.568,0.74118
2.576,0.7
2.584,0.65098
2.592,0.58431
2.6,0.52549
2.608,0.48039
2.616,0.4549
2.624,0.42941
2.632,0.41569
2.64,0.4
2.648,0.3902
2.656,0.3902
2.664,0.40392
2.672,0.41569
2.68,0.4098
2.688,0.41961
2.696,0.42549
2.704,0.41961
2.712,0.42549
2.72,0.41569
2.728,0.42549
2.736,0.42549
2.744,0.41569
2.752,0.4098
2.76,0.40392
2.768,0.39412
2.776,0.40392
2.784,0.4
2.792,0.38039
2.8,0.40392
2.808,0.4098
2.816,0.40392
2.824,0.41569
2.832,0.39412
2.84,0.37451
2.848,0.36471
2.856,0.35882
2.864,0.35882
2.872,0.36471
2.88,0.3549
2.888,0.35882
2.896,0.34902
2.904,0.33922
2.912,0.33529
2.92,0.33529
2.928,0.3451
2.936,0.27451
2.944,0.42941
2.952,1.0922
2.96,1.5039
2.968,1.5039
2.976,0.89608
2.984,0.35882
2.992,0.33922
3,0.3549
3.008,0.33529
3.016,0.3098
3.024,0.31373
3.032,0.3098
3.04,0.31961
3.048,0.33529
3.056,0.32941
3.064,0.3451
3.072,0.3549
3.08,0.35882
3.088,0.37059
3.096,0.37451
3.104,0.3902
3.112,0.41961
3.12,0.4451
